Text,IsFake
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",false
"Under Mayor Cicilline, [Providence] was a sanctuary city.",true
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,true
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",false
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",true
U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,true
Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,true
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",false
"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",true
The new Arizona immigration law 'says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.',false
The only time in our history when the debt has been higher than this was the end of World War II.,false
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,false
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",false
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,true
Says one out of three U.S. homeless men is a veteran.,true
Says Charlie Crist supports cuts to the Medicare Advantage program.,true
I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,false
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,false
"At some point in their lives, 99% of women use birth control.",false
"In the past 20 years, Egypt has made great strides in political and democratic reform.",true
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,true
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,false
"In Rick Perrys Texas, we import nurses ... from other countries.",false
There is a federal criminal law that says its a crime to transport dentures across state lines.,false
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,false
Sen. McCain's tax plan provides 'virtually nothing to the middle class.',true
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,true
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",true
I belong to the AFL-CIO.,false
The insurance commissioner cant do squat about health care.,false
Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,false
"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",true
Says David Jolly supports privatizing Social Security.,true
Did you know US population growth is at its lowest since the Great Depression?,false
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",false
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",false
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,false
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,true
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",true
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",false
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",false
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",true
'Sen. Obama has always had a 100 percent prochoice rating.',false
"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",false
The (federal) debt is growing by more than $4 billion a day.,false
"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",false
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",true
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,false
"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",false
"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",false
Says Obama promised unemployment would never go above 8 percent.,true
The economy is creating jobs at the fastest pace since 1999.,false
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,false
"In a majority of states, you can now marry freely, but can still be fired for who you love.",false
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,true
Rudy Giuliani is 'probably the most underqualified man since George Bush to seek the presidency.',true
"About half of the presidents have been governors; half of them, senators.",true
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",false
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",false
Says 88 Texas constables have died in the line of duty.,false
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",false
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",false
"'As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.'",false
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,false
The Air Force wants taxpayers to fund a fantasy football league.,true
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,true
About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,false
Some neighborhood schools are closing.,false
'He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.',false
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",false
"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",true
Says the U.S. Supreme Court found that Social Security is not guaranteed.,false
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,true
Oregonians have an amazing no-cost way to fight abortion with free political donations,false
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",true
"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",true
Newt Gingrichs immigration plan offers a new doorway to amnesty.,false
Mr. Caprio is a career politician who has never worked in the private sector.,true
"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",true
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",false
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,false
Donald Trump has said nuclear proliferation is OK.,false
"'Hillary Clinton has taken over $800,000 from lobbyists.'",false
Barack Obama has never even worked in business.,true
Says the Arizona immigration law expressly bans racial profiling.,false
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,true
"On the VA: Over 300,000 veterans have died waiting for care.",true
Were now spending 42 percent of our economy on government.,false
Rob Cornilles supports privatizing Medicare.,true
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",true
We (Democrats) have made steady progress creating jobs and improving our schools.,false
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,true
"Whether you like to admit it or not, half our general revenue goes to education.",false
Im the only one whos fought against developers draining the Everglades!,true
Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,false
"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",false
Climate change is directly related to the growth of terrorism.,true
The jobs bill includes President Obamas tax on soup kitchens,true
Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,true
'While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.',false
"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",false
We have more illegal immigrants here than we did five years ago.,true
Says Rick Perry wrote a letter supporting Hillarycare.,true
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,true
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",true
(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,false
Says Chris Christie vetoed a jobs package of 30 bills.,false
There are already more American jobs in the solar industry than in coal mining.,false
Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,false
Barack Obama is in an economy thats only worsened since hes been president of the United States.,false
Romney failed to take action against 'sanctuary cities' in Massachusetts.,false
"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",false
Says Thomas Eric Duncan came into the United States with an elevated temperature.,true
We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,false
Gas prices have gone up $2 since Obama took office.,false
Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,false
Says judges get better benefits at a lower cost than everybody else in the state.,false
There are a lot of casinos across the country that have gone bankrupt.,false
Small businesses create 70 percent of the jobs in America.,false
Seniors with coverage under Medicare Advantage will give up 'more than their share' because of health care reform,false
"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",false
If Texas were a country our economy would rank # 10...in the WORLD.,false
There are more oil rigs in operation in the United States than the rest of the world combined.,true
"Payday lenders profit from the poor by charging 1,000-plus percent interest.",false
"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",false
It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,false
The Obama administration shut down the Amber Alert program because of the government shutdown.,true
The Republicans have 2 percent of the Muslim vote.,false
"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",false
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",true
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",false
"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",false
Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,false
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",true
Not one Republican has the guts to recognize that climate change is real.,true
"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",false
David Dewhurst has a record of promoting an income tax.,true
Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,false
"'In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.'",true
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",true
The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,true
Says Obama health reform law denies millions access to affordable insurance.,true
Says HB2 hasnt moved the needle one iota on North Carolinas economy.,true
Close to 30% of our federal prison population consists of illegal immigrants.,true
Says Rick Scott called education not a core function of the state.,true
"The Family Research Council, according to some government agencies, is a terrorist group.",true
"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",false
Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,false
Obamacare is the biggest tax increase in American history.,true
'You ... said that Barack Obama was not ready to be commander in chief.',false
"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",false
Milwaukee Mayor Tom Barrett has held the line on property taxes.,true
Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,false
"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",false
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,true
"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",false
On how money from a possible lease of the Ohio Turnpike would be used,false
"'At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade.'",false
"The president has had 1,540 of his nominations confirmed, only four defeated.",false
U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.,false
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront.",true
There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.,false
Democratic presidents 'have been considerably more effective at creating private-sector jobs.',false
Joe Biden 'voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq.',false
Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.,true
'One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.',false
Military 'recruiting went on at Harvard every single day throughout the time (Kagan) was there.',false
"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%.",false
"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans.",false
The Paul Ryan budget proposal would privatize Medicare.,false
High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.,false
The United States imprisons more than any nation in the world.,false
Says Marco Rubio is the one for an open border.,true
"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat.",false
Says cuts to Medicare affect people who have already paid in. We paid for it.,true
David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.,true
The American healthcare system burns 18 percent of our national GDP. Nobody else is close.,false
Providences port is 200 miles closer to Europe than any other Eastern port.,true
Says you need a photo ID to purchase Sudafed in Texas.,false
Twenty percent of housing in Portlands Pearl District is affordable.,false
"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012.",false
'Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.',false
Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.,false
"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent.",false
Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.,true
We now have driven (health care) costs down to the lowest theyve been in 50 years.,true
President Barack Obama's 'initial response when we heard about the Christmas underwear bomber' was to say that 'this was the act of an isolated extremist.',false
"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes.",false
"In the 1950s, 'A lot of people got rich and they had to pay a top tax rate of 90 percent.'",false
"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough.",false
'Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.',true
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,true
Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.,false
Warren (Buffett) still does support me.,false
Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.,false
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,true
"About 230,000 people that were on unemployment when I took office are not on unemployment now.",false
"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die.",true
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,true
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,true
"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years.",false
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,true
"John McCain, 'one of the richest people in a Senate filled with millionaires,' says the solution to the housing crisis is for people to get a 'second job' and 'skip their vacations.'",true
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",true
"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014.",false
"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent.",false
Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.,false
On legalizing illegal immigrants.,false
Nearly half of all pregnancies in the U.S. are unintended.,false
We are 'borrowing Saudi money for Saudi oil' with the result being 'dependency and debt.',false
"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy.",false
"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs.",false
The top 1 percent pay over half of the entire revenue for this country.,true
The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.,true
Chris Christie has not increased the taxes on anyone.,false
The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.,true
Says he never said he would keep education funding the same.,true
"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation.",false
"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare.",false
"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget.",false
'(Palin) supported right-wing extremist Pat Buchanan for president in 2000.',true
Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.,true
Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.,true
"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed.",false
Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.,false
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.",true
"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",true
What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,true
'I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.',false
"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",false
The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.,true
"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs.",true
"Thompson 'voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.'",true
Texas this fiscal year will have more money in reserve than the other 49 states combined.,true
On using the Strategic Petroleum Reserve.,true
Immigrants are more fertile.,false
The proposed education changes 'will not cut one teacher's pay.',false
'The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.',true
Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.,false
Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,true
We spend less on defense today as % of GDP than at any time since Pearl Harbor.,true
'If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.',false
"Says Scott Walker wants to ban common forms of birth control, including the pill.",false
Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,true
"Shelby County donated Im sorry, gave 44 schools to the city of Memphis.",false
"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq.",false
Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.,false
"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital.",false
Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,true
The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.,true
'There are mechanisms in place to shut down the Internet privately.',false
The American people support defunding Obamacare and oppose shutting down the government.,true
Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,false
"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun.",false
The people of Rhode Island dont want same-sex marriage.,true
"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit.",false
This year in Congress (Connie Mack IV) has missed almost half of his votes.,true
"1/3 of our kids drop out (of high school), cannot go to college or start a career.",true
Not even old Gen. Eisenhower saluted military personnel as president.,true
"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts.",false
"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.",true
74 percent of Republicans support the Affordable Care Act.,true
"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line.",false
"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default.",false
Says Alex Sink failed Florida homeowners by using predatory lending practices.,true
Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.,true
You cant check out a library book without a photo ID.,true
Says that Starbucks took Christmas off of their brand new cups.,true
Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.,false
"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.",true
"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools.",false
"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year.",false
The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.,false
"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders.",false
"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005.",false
"Every year, more than $40 million are leaving Missouri for the Lone Star State.",false
A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,false
The House of Representatives has never passed a resolution of disapproval to condemn a member's behavior.,false
"We are younger than our competitors, and this is entirely because of immigration.",false
Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.,false
"Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",false
"The policy mistakes that ... the Clintons made got us, in large degree, to the situation that we are in today with mass incarceration.",false
Says he raised average family income by 50 percent during his tenure as Arkansas governor.,true
They tried to give us $400 million to build a high-speed train that goes 39 miles an hour.,false
"Says the CBO estimates that fully extending the Bush tax cuts would add 600,000-1.4 million jobs in 2011 and 900,000-2.7 million jobs in 2012.",false
President Reagan did it (raised the debt ceiling) 18 times. George W. Bush did it seven times.,false
"According to David Cay Johnston, the average American pays about 22 percent of their income to federal taxes. The richest 400 Americans pay about 16 percent of their income to federal taxes.",false
"Most young Americans right now, theyre not covered by health insurance.",true
"In 1952, the corporate income tax accounted for 33 percent of all federal tax revenue. Today, despite record-breaking profits, corporate taxes bring in less than 9 percent.",false
"Over the last 10 years, Texas created 33 percent of the net new jobs nationwide.",false
Says two-thirds of groups targeted for IRS scrutiny were not conservative.,true
"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.",true
"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",false
"As a U.S. senator with salary and perks, ‪#Bernie‬ is in the top 1 percent, but still paid only 13 percent in taxes last year.",true
"'You know we can't just pull out now... The truth of the matter is: If we started today, it would take one year, one year to get 160,000 troops physically out of Iraq, logistically.'",false
"From 2013-2015, the richest 14 Americans increased their net wealth by more than $157 billion, yet the Republican budget would not require these Americans to contribute one penny to deficit reduction.",false
"Says that while Foster was mayor, Rick Kriseman was ineffective in the Florida House of Representatives because there was no legislation that passed the House that had (Krisemans) name on it.",false
